player,club,position,minutes,nineties,key_passes_per90,prog_passes_per90,shots_per90,xg_per90,interceptions_per90,tackles_won_per90,prog_carries_per90
Ragnar Ache,Köln,"DF,FW",38,0.4,2.5,2.5,0.0,0.0,0.0,0.0,0.0
Junior Adamu,Freiburg,FW,6,0.1,0.0,0.0,10.0,2.9999999999999996,0.0,0.0,0.0
Karim Adeyemi,Dortmund,FW,49,0.5,2.0,2.0,0.0,0.0,2.0,0.0,2.0
Oladapo Afolayan,St. Pauli,FW,4,0.0,,,,,,,
Felix Agu,Werder Bremen,DF,180,2.0,1.5,3.0,0.5,0.0,0.5,2.5,2.0
Kevin Akpoguma,Hoffenheim,DF,16,0.2,0.0,0.0,0.0,0.0,5.0,0.0,0.0
Skelly Alvero,Werder Bremen,DF,26,0.3,0.0,6.666666666666667,0.0,0.0,3.3333333333333335,0.0,3.3333333333333335
Nadiem Amiri,Mainz 05,MF,154,1.7,2.9411764705882355,10.0,2.3529411764705883,0.5294117647058824,1.7647058823529411,0.0,1.1764705882352942
Mohamed Amoura,Wolfsburg,FW,48,0.5,2.0,0.0,0.0,1.6,0.0,0.0,2.0
Robert Andrich,Leverkusen,MF,180,2.0,0.0,1.0,0.0,0.0,1.5,2.0,1.0
Ilyas Ansah,Union Berlin,FW,144,1.6,1.25,1.875,1.25,0.0625,0.0,0.0,1.875
Aaron Anselmino,Dortmund,DF,75,0.8,0.0,12.5,0.0,0.0,0.0,2.5,5.0
Waldemar Anton,Dortmund,DF,180,2.0,0.0,2.5,0.5,0.0,1.0,0.0,0.0
Maximilian Arnold,Wolfsburg,MF,180,2.0,3.0,2.5,1.5,0.05,3.0,0.5,0.0
Arthur,Leverkusen,DF,45,0.5,0.0,2.0,0.0,0.0,0.0,4.0,2.0
Fisnik Asllani,Hoffenheim,FW,161,1.8,2.2222222222222223,3.333333333333333,3.333333333333333,0.16666666666666666,0.5555555555555556,0.0,0.5555555555555556
Lorenz Assignon,Stuttgart,MF,17,0.2,0.0,0.0,0.0,0.0,0.0,5.0,0.0
Noah Atubolu,Freiburg,GK,180,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Leon Avdullahu,Hoffenheim,MF,180,2.0,2.0,7.0,0.0,0.0,0.0,0.5,1.5
Mio Backhaus,Werder Bremen,GK,180,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Loïc Bade,Leverkusen,DF,19,0.2,0.0,5.0,0.0,0.0,0.0,0.0,0.0
Johan Bakayoko,RB Leipzig,FW,134,1.5,0.6666666666666666,2.6666666666666665,1.3333333333333333,0.06666666666666667,0.0,0.6666666666666666,3.3333333333333335
Ridle Baku,RB Leipzig,DF,179,2.0,2.0,6.0,1.0,0.05,1.0,2.5,4.5
Noahkai Banks,Augsburg,MF,1,0.0,,,,,,,
Ezechiel Banzuzi,RB Leipzig,MF,88,1.0,0.0,1.0,2.0,0.1,0.0,1.0,0.0
