rk,player,nation,pos,squad,age,born,90s,tkl,tklw,def_3rd,mid_3rd,att_3rd,tkl,att,tkl,lost,blocks,sh,pass,int,tkl_int,clr,err,matches
1,Ragnar Ache,de GER,"DF,FW",Köln,27-042,1998,0.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0,Matches
2,Junior Adamu,at AUT,FW,Freiburg,24-094,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
3,Karim Adeyemi,de GER,FW,Dortmund,23-233,2002,0.5,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,1,0,Matches
4,Oladapo Afolayan,eng ENG,FW,St. Pauli,27-208,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
5,Felix Agu,ng NGA,DF,Werder Bremen,25-346,1999,2.0,6,5,3,2,1,2,6,33.3,4,2,1,1,1,7,8,1,Matches
6,Kevin Akpoguma,ng NGA,DF,Hoffenheim,30-142,1995,0.2,1,0,1,0,0,1,1,100.0,0,0,0,0,1,2,3,0,Matches
7,Skelly Alvero,fr FRA,DF,Werder Bremen,23-127,2002,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,Matches
8,Nadiem Amiri,de GER,MF,Mainz 05,28-316,1996,1.7,2,0,0,2,0,1,2,50.0,1,3,0,3,3,5,1,0,Matches
9,Mohamed Amoura,dz ALG,FW,Wolfsburg,25-122,2000,0.5,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
10,Robert Andrich,de GER,MF,Leverkusen,30-351,1994,2.0,4,4,2,2,0,2,2,100.0,0,0,0,0,3,7,3,0,Matches
11,Ilyas Ansah,de GER,FW,Union Berlin,20-304,2004,1.6,1,0,0,0,1,0,0,,0,0,0,0,0,1,2,0,Matches
12,Aaron Anselmino,ar ARG,DF,Dortmund,20-132,2005,0.8,2,2,2,0,0,2,2,100.0,0,0,0,0,0,2,5,1,Matches
13,Waldemar Anton,de GER,DF,Dortmund,29-050,1996,2.0,4,0,1,3,0,1,2,50.0,1,1,1,0,2,6,19,1,Matches
14,Maximilian Arnold,de GER,MF,Wolfsburg,31-104,1994,2.0,1,1,0,1,0,1,2,50.0,1,2,2,0,6,7,9,0,Matches
