rk,player,nation,pos,squad,age,born,90s,cmp,att,cmp,totdist,prgdist,cmp,att,cmp,cmp,att,cmp,cmp,att,cmp,ast,xag,xa,a_xag,kp,1_3,ppa,crspa,prgp,matches
1,Ragnar Ache,de GER,"DF,FW",Köln,27-042,1998,0.4,7,9,77.8,67,15,7,8,87.5,0,1,0.0,0,0,,0,0.1,0.1,-0.1,1,1,1,0,1,Matches
2,Junior Adamu,at AUT,FW,Freiburg,24-094,2001,0.1,1,1,100.0,10,5,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
3,Karim Adeyemi,de GER,FW,Dortmund,23-233,2002,0.5,10,14,71.4,127,24,7,9,77.8,3,4,75.0,0,0,,0,0.2,0.8,-0.2,1,1,0,0,1,Matches
4,Oladapo Afolayan,eng ENG,FW,St. Pauli,27-208,1998,0.0,1,4,25.0,13,0,1,2,50.0,0,1,0.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
5,Felix Agu,ng NGA,DF,Werder Bremen,25-346,1999,2.0,86,112,76.8,1343,373,44,52,84.6,34,38,89.5,4,12,33.3,0,0.2,0.3,-0.2,3,5,3,2,6,Matches
6,Kevin Akpoguma,ng NGA,DF,Hoffenheim,30-142,1995,0.2,3,6,50.0,47,21,2,2,100.0,1,4,25.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,0,Matches
7,Skelly Alvero,fr FRA,DF,Werder Bremen,23-127,2002,0.3,20,20,100.0,398,62,7,7,100.0,12,12,100.0,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,2,Matches
8,Nadiem Amiri,de GER,MF,Mainz 05,28-316,1996,1.7,97,126,77.0,1982,755,44,47,93.6,34,36,94.4,18,39,46.2,0,0.3,0.5,-0.3,5,12,7,1,17,Matches
9,Mohamed Amoura,dz ALG,FW,Wolfsburg,25-122,2000,0.5,8,10,80.0,105,6,5,5,100.0,3,3,100.0,0,0,,0,0.1,0.0,-0.1,1,0,0,0,0,Matches
10,Robert Andrich,de GER,MF,Leverkusen,30-351,1994,2.0,98,112,87.5,1557,336,48,58,82.8,35,36,97.2,9,11,81.8,0,0.0,0.1,0.0,0,6,0,0,2,Matches
11,Ilyas Ansah,de GER,FW,Union Berlin,20-304,2004,1.6,17,22,77.3,286,22,7,9,77.8,8,10,80.0,1,1,100.0,0,0.0,0.0,0.0,2,2,0,0,3,Matches
12,Aaron Anselmino,ar ARG,DF,Dortmund,20-132,2005,0.8,73,78,93.6,1202,465,32,33,97.0,39,42,92.9,2,2,100.0,0,0.0,0.1,0.0,0,5,1,0,10,Matches
13,Waldemar Anton,de GER,DF,Dortmund,29-050,1996,2.0,184,195,94.4,3590,1320,52,52,100.0,121,124,97.6,11,17,64.7,0,0.0,0.0,0.0,0,8,0,0,5,Matches
14,Maximilian Arnold,de GER,MF,Wolfsburg,31-104,1994,2.0,72,96,75.0,1592,511,26,28,92.9,30,36,83.3,16,31,51.6,1,0.5,0.7,+0.5,6,3,1,0,5,Matches
15,Arthur,br BRA,DF,Leverkusen,22-175,2003,0.5,10,12,83.3,121,40,7,7,100.0,1,2,50.0,1,1,100.0,0,0.0,0.0,0.0,0,0,1,0,1,Matches
16,Fisnik Asllani,xk KVX,FW,Hoffenheim,23-031,2002,1.8,28,37,75.7,380,133,18,21,85.7,7,12,58.3,1,1,100.0,1,0.2,0.1,+0.8,4,4,2,0,6,Matches
17,Lorenz Assignon,tg TOG,MF,Stuttgart,25-078,2000,0.2,2,3,66.7,25,6,2,2,100.0,0,1,0.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
18,Noah Atubolu,de GER,GK,Freiburg,23-106,2002,2.0,62,86,72.1,1873,1395,6,6,100.0,29,29,100.0,26,49,53.1,0,0.0,0.0,0.0,0,3,0,0,1,Matches
19,Leon Avdullahu,xk KVX,MF,Hoffenheim,21-197,2004,2.0,122,142,85.9,2084,821,60,63,95.2,44,51,86.3,14,19,73.7,1,0.5,0.3,+0.5,4,13,2,1,14,Matches
20,Mio Backhaus,de GER,GK,Werder Bremen,21-145,2004,2.0,54,59,91.5,1229,696,16,16,100.0,22,22,100.0,15,20,75.0,0,0.0,0.0,0.0,0,0,0,0,0,Matches
21,Loïc Bade,fr FRA,DF,Leverkusen,25-150,2000,0.2,15,15,100.0,325,160,2,2,100.0,11,11,100.0,2,2,100.0,0,0.0,0.0,0.0,0,2,0,0,1,Matches
22,Johan Bakayoko,be BEL,FW,RB Leipzig,22-141,2003,1.5,40,50,80.0,522,91,28,31,90.3,7,11,63.6,3,4,75.0,0,0.0,0.1,0.0,1,2,2,0,4,Matches
23,Ridle Baku,de GER,DF,RB Leipzig,27-153,1998,2.0,96,109,88.1,1669,650,45,48,93.8,43,49,87.8,7,9,77.8,1,0.7,0.8,+0.3,4,8,0,0,12,Matches
