rk,player,nation,pos,squad,age,born,90s,touches,def_pen,def_3rd,mid_3rd,att_3rd,att_pen,live,att,succ,succ,tkld,tkld,carries,totdist,prgdist,prgc,1_3,cpa,mis,dis,rec,prgr,matches
1,Ragnar Ache,de GER,"DF,FW",Köln,27-042,1998,0.4,18,2,3,8,8,3,18,1,0,0.0,1,100.0,8,20,3,0,1,0,2,0,11,1,Matches
2,Junior Adamu,at AUT,FW,Freiburg,24-094,2001,0.1,3,0,0,1,2,1,3,0,0,,0,,3,11,6,0,0,0,0,0,3,2,Matches
3,Karim Adeyemi,de GER,FW,Dortmund,23-233,2002,0.5,23,0,1,11,11,2,23,2,0,0.0,1,50.0,17,85,26,1,3,1,3,1,19,5,Matches
4,Oladapo Afolayan,eng ENG,FW,St. Pauli,27-208,1998,0.0,6,0,0,0,6,2,6,1,0,0.0,1,100.0,3,9,2,0,0,0,1,0,4,2,Matches
5,Felix Agu,ng NGA,DF,Werder Bremen,25-346,1999,2.0,137,9,47,56,35,2,137,4,1,25.0,2,50.0,76,345,190,4,2,0,2,1,80,14,Matches
6,Kevin Akpoguma,ng NGA,DF,Hoffenheim,30-142,1995,0.2,11,3,9,2,0,0,11,0,0,,0,,1,11,0,0,0,0,0,0,2,0,Matches
7,Skelly Alvero,fr FRA,DF,Werder Bremen,23-127,2002,0.3,26,4,8,17,1,0,26,0,0,,0,,18,78,41,1,0,0,0,0,17,0,Matches
8,Nadiem Amiri,de GER,MF,Mainz 05,28-316,1996,1.7,151,0,11,73,68,6,150,5,2,40.0,2,40.0,81,297,81,2,4,2,2,1,103,2,Matches
9,Mohamed Amoura,dz ALG,FW,Wolfsburg,25-122,2000,0.5,17,0,2,9,7,2,16,1,0,0.0,0,0.0,9,63,32,1,1,1,3,1,10,3,Matches
10,Robert Andrich,de GER,MF,Leverkusen,30-351,1994,2.0,125,5,32,73,20,1,125,1,0,0.0,1,100.0,81,262,62,2,0,0,2,0,92,3,Matches
11,Ilyas Ansah,de GER,FW,Union Berlin,20-304,2004,1.6,50,2,5,23,23,4,50,7,3,42.9,4,57.1,25,131,40,3,2,1,8,4,32,9,Matches
12,Aaron Anselmino,ar ARG,DF,Dortmund,20-132,2005,0.8,87,2,25,59,3,0,87,0,0,,0,,53,321,216,4,1,0,1,0,70,1,Matches
13,Waldemar Anton,de GER,DF,Dortmund,29-050,1996,2.0,225,19,75,147,3,2,225,1,0,0.0,1,100.0,152,781,429,0,0,0,1,0,179,0,Matches
14,Maximilian Arnold,de GER,MF,Wolfsburg,31-104,1994,2.0,117,12,42,55,21,0,117,0,0,,0,,62,278,84,0,0,0,0,0,67,0,Matches
15,Arthur,br BRA,DF,Leverkusen,22-175,2003,0.5,16,1,6,3,7,0,16,0,0,,0,,8,45,29,1,1,0,0,1,7,3,Matches
16,Fisnik Asllani,xk KVX,FW,Hoffenheim,23-031,2002,1.8,55,1,7,26,22,9,55,1,0,0.0,1,100.0,24,119,41,1,0,0,2,2,41,8,Matches
17,Lorenz Assignon,tg TOG,MF,Stuttgart,25-078,2000,0.2,6,1,3,0,3,0,6,0,0,,0,,2,8,3,0,0,0,0,0,1,0,Matches
18,Noah Atubolu,de GER,GK,Freiburg,23-106,2002,2.0,89,55,84,5,0,0,89,0,0,,0,,54,284,186,0,0,0,0,0,53,0,Matches
19,Leon Avdullahu,xk KVX,MF,Hoffenheim,21-197,2004,2.0,153,4,29,107,19,2,153,3,0,0.0,3,100.0,73,464,180,3,1,0,2,2,117,4,Matches
20,Mio Backhaus,de GER,GK,Werder Bremen,21-145,2004,2.0,65,46,63,2,0,0,65,0,0,,0,,39,164,93,0,0,0,0,0,34,0,Matches
21,Loïc Bade,fr FRA,DF,Leverkusen,25-150,2000,0.2,17,6,12,5,0,0,17,0,0,,0,,12,43,9,0,0,0,0,0,12,0,Matches
22,Johan Bakayoko,be BEL,FW,RB Leipzig,22-141,2003,1.5,64,1,7,30,27,9,64,6,2,33.3,4,66.7,42,238,132,5,1,1,3,1,49,17,Matches
23,Ridle Baku,de GER,DF,RB Leipzig,27-153,1998,2.0,137,6,41,67,32,6,137,4,3,75.0,1,25.0,76,453,315,9,5,1,3,0,83,11,Matches
24,Noahkai Banks,us USA,MF,Augsburg,18-281,2006,0.0,7,2,3,3,1,1,7,0,0,,0,,2,11,1,0,0,0,0,0,2,0,Matches
25,Ezechiel Banzuzi,nl NED,MF,RB Leipzig,20-204,2005,1.0,49,4,6,31,12,2,49,1,1,100.0,0,0.0,31,152,51,0,2,1,1,1,35,2,Matches
26,Michy Batshuayi,be BEL,FW,Eint Frankfurt,31-341,1993,0.1,8,0,1,4,3,0,8,0,0,,0,,4,51,0,0,1,0,1,3,5,1,Matches
27,Oliver Baumann,de GER,GK,Hoffenheim,35-098,1990,2.0,71,44,68,3,0,0,71,0,0,,0,,31,184,126,0,0,0,0,0,41,0,Matches
28,Christoph Baumgartner,at AUT,"MF,FW",RB Leipzig,26-038,1999,1.2,48,1,4,20,25,6,48,2,2,100.0,0,0.0,27,150,79,1,3,0,2,1,36,11,Matches
29,Adrian Beck,de GER,"MF,DF",Heidenheim,28-091,1997,0.4,21,0,3,11,7,1,21,0,0,,0,,15,77,44,0,1,0,2,1,16,2,Matches
