rk,player,nation,pos,squad,age,born,90s,gls,sh,sot,sot,sh_90,sot_90,g_sh,g_sot,dist,fk,pk,pkatt,xg,npxg,npxg_sh,g_xg,np_g_xg,matches
1,Ragnar Ache,de GER,"DF,FW",Köln,27-042,1998,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
2,Junior Adamu,at AUT,FW,Freiburg,24-094,2001,0.1,0,1,0,0.0,15.00,0.00,0.00,,9.0,0,0,0,0.3,0.3,0.28,-0.3,-0.3,Matches
3,Karim Adeyemi,de GER,FW,Dortmund,23-233,2002,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
4,Oladapo Afolayan,eng ENG,FW,St. Pauli,27-208,1998,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
5,Felix Agu,ng NGA,DF,Werder Bremen,25-346,1999,2.0,0,1,1,100.0,0.50,0.50,0.00,0.00,30.7,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
6,Kevin Akpoguma,ng NGA,DF,Hoffenheim,30-142,1995,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
7,Skelly Alvero,fr FRA,DF,Werder Bremen,23-127,2002,0.3,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
8,Nadiem Amiri,de GER,MF,Mainz 05,28-316,1996,1.7,1,4,1,25.0,2.34,0.58,0.00,0.00,31.4,0,1,1,0.9,0.1,0.03,+0.1,-0.1,Matches
9,Mohamed Amoura,dz ALG,FW,Wolfsburg,25-122,2000,0.5,1,0,0,,0.00,0.00,,,,0,1,1,0.8,0.0,,+0.2,0.0,Matches
10,Robert Andrich,de GER,MF,Leverkusen,30-351,1994,2.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
11,Ilyas Ansah,de GER,FW,Union Berlin,20-304,2004,1.6,2,2,2,100.0,1.25,1.25,1.00,1.00,22.2,0,0,0,0.1,0.1,0.04,+1.9,+1.9,Matches
12,Aaron Anselmino,ar ARG,DF,Dortmund,20-132,2005,0.8,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
13,Waldemar Anton,de GER,DF,Dortmund,29-050,1996,2.0,1,1,1,100.0,0.50,0.50,1.00,1.00,17.3,0,0,0,0.0,0.0,0.03,+1.0,+1.0,Matches
14,Maximilian Arnold,de GER,MF,Wolfsburg,31-104,1994,2.0,0,3,1,33.3,1.50,0.50,0.00,0.00,28.0,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
15,Arthur,br BRA,DF,Leverkusen,22-175,2003,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
16,Fisnik Asllani,xk KVX,FW,Hoffenheim,23-031,2002,1.8,1,6,1,16.7,3.35,0.56,0.17,1.00,14.9,0,0,0,0.3,0.3,0.06,+0.7,+0.7,Matches
17,Lorenz Assignon,tg TOG,MF,Stuttgart,25-078,2000,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
