rk,player,nation,pos,squad,age,born,mp,starts,min,90s,gls,ast,g_a,g_pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg_xag,prgc,prgp,prgr,gls,ast,g_a,g_pk,g_a_pk,xg,xag,xg_xag,npxg,npxg_xag,matches
1,Ragnar Ache,de GER,"DF,FW",Köln,27-042,1998,2,0,38,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.16,0.00,0.16,Matches
2,Junior Adamu,at AUT,FW,Freiburg,24-094,2001,1,0,6,0.1,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,0,0,2,0.00,0.00,0.00,0.00,0.00,4.21,0.00,4.21,4.21,4.21,Matches
3,Karim Adeyemi,de GER,FW,Dortmund,23-233,2002,2,1,49,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,1,5,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.42,0.00,0.42,Matches
4,Oladapo Afolayan,eng ENG,FW,St. Pauli,27-208,1998,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
5,Felix Agu,ng NGA,DF,Werder Bremen,25-346,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,4,6,14,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.12,0.00,0.12,Matches
6,Kevin Akpoguma,ng NGA,DF,Hoffenheim,30-142,1995,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
7,Skelly Alvero,fr FRA,DF,Werder Bremen,23-127,2002,1,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
8,Nadiem Amiri,de GER,MF,Mainz 05,28-316,1996,2,2,154,1.7,1,0,1,0,1,1,0,0,0.9,0.1,0.3,0.4,2,17,2,0.58,0.00,0.58,0.00,0.00,0.53,0.15,0.69,0.07,0.23,Matches
9,Mohamed Amoura,dz ALG,FW,Wolfsburg,25-122,2000,2,0,48,0.5,1,0,1,0,1,1,0,0,0.8,0.0,0.1,0.1,1,0,3,1.87,0.00,1.87,0.00,0.00,1.48,0.15,1.63,0.00,0.15,Matches
10,Robert Andrich,de GER,MF,Leverkusen,30-351,1994,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
11,Ilyas Ansah,de GER,FW,Union Berlin,20-304,2004,2,2,144,1.6,2,0,2,2,0,0,0,0,0.1,0.1,0.0,0.1,3,3,9,1.25,0.00,1.25,1.25,1.25,0.04,0.03,0.07,0.04,0.07,Matches
12,Aaron Anselmino,ar ARG,DF,Dortmund,20-132,2005,1,1,75,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,10,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
13,Waldemar Anton,de GER,DF,Dortmund,29-050,1996,2,2,180,2.0,1,0,1,1,0,0,0,0,0.0,0.0,0.0,0.0,0,5,0,0.50,0.00,0.50,0.50,0.50,0.02,0.00,0.02,0.02,0.02,Matches
14,Maximilian Arnold,de GER,MF,Wolfsburg,31-104,1994,2,2,180,2.0,0,1,1,0,0,0,1,0,0.1,0.1,0.5,0.6,0,5,0,0.00,0.50,0.50,0.00,0.50,0.05,0.27,0.32,0.05,0.32,Matches
15,Arthur,br BRA,DF,Leverkusen,22-175,2003,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
